SEX,YEAR,Age group,NUM JOBS,INCOME
Female,2021,60 to 64 years,614.998,33221.0
Male,2017,65 to 69 years,298.282,27183.0
Male,2018,65 to 69 years,313.033,27591.0
Male,2019,65 to 69 years,319.625,30162.0
Male,2020,65 to 69 years,333.545,34622.0
Male,2021,65 to 69 years,363.555,32580.0
Female,2017,65 to 69 years,231.417,21385.0
Female,2018,65 to 69 years,249.277,21463.0
Female,2019,65 to 69 years,256.906,24280.0
Female,2020,65 to 69 years,271.754,27556.5
Female,2021,65 to 69 years,304.191,24287.0
Male,2017,70 to 74 years,133.237,15000.0
Male,2018,70 to 74 years,141.215,14686.0
Male,2019,70 to 74 years,145.017,16122.0
Male,2020,70 to 74 years,148.937,20049.0
Male,2021,70 to 74 years,157.953,17213.0
Female,2017,70 to 74 years,92.512,11593.0
Female,2018,70 to 74 years,99.902,11351.0
Female,2019,70 to 74 years,103.743,13148.0
Female,2020,70 to 74 years,106.947,16302.0
Female,2021,70 to 74 years,117.633,12525.5
Male,2017,75 to 79 years,51.543,9546.0
Male,2018,75 to 79 years,54.351,9518.5
Male,2019,75 to 79 years,56.839,10313.0
Male,2020,75 to 79 years,59.218,13500.0
Male,2021,75 to 79 years,67.724,11191.5
Female,2017,75 to 79 years,38.343,7253.0
Female,2018,75 to 79 years,39.437,7307.0
Female,2019,75 to 79 years,40.105,7554.0
Female,2020,75 to 79 years,39.928,10174.5
Female,2021,75 to 79 years,47.24,8048.5
Male,2017,80 to 84 years,24.812,6929.0
Male,2018,80 to 84 years,25.394,6975.0
Male,2019,80 to 84 years,25.177,6746.0
Male,2020,80 to 84 years,24.559,9466.0
Male,2021,80 to 84 years,26.079,8438.0
Female,2017,80 to 84 years,20.98,6400.0
Female,2018,80 to 84 years,21.207,6413.0
Female,2019,80 to 84 years,20.794,6000.0
Female,2020,80 to 84 years,19.949,7180.0
Female,2021,80 to 84 years,21.101,6871.0
Male,2017,85 years and over,15.624,7186.0
Male,2018,85 years and over,15.165,7310.5
Male,2019,85 years and over,14.993,7284.5
Male,2020,85 years and over,15.004,7717.5
Male,2021,85 years and over,15.428,7599.0
Female,2017,85 years and over,19.491,7046.0
Female,2018,85 years and over,18.814,7286.0
Female,2019,85 years and over,18.295,7035.0
Female,2020,85 years and over,17.54,7081.0
Female,2021,85 years and over,17.832,7150.0
