feature,gender,median_income,number_of_jobs,PROPORTION
Permanent Family,Males,20k-30k,1237.123,0.004120096279041743
Permanent Family,Males,30k-50k,6478.377,0.021575491662453622
Permanent Family,Males,50k-70k,936.827,0.003119994888791041
Permanent Family,Males,70k-90k,28.039,9.338067400577908e-05
Permanent Family,Males,90k-110k,40.073,0.00013345853095451281
Permanent Family,Males,110k-130k,0.566,1.884998091489388e-06
Permanent Family,Males,130-150k,0.0,0.0
Permanent Family,Males,>150k,0.0,0.0
Permanent Humanitarian,Females,<10k,359.661,0.0011978097148112453
Permanent Humanitarian,Females,10k-20k,1428.153,0.004756299786846015
Permanent Humanitarian,Females,20k-30k,370.978,0.0012354996854850712
Permanent Humanitarian,Females,30k-50k,34.106,0.00011358612174617859
Permanent Humanitarian,Females,50k-70k,1.047,3.486913430723303e-06
Permanent Humanitarian,Females,70k-90k,0.184,6.127908990000838e-07
Permanent Humanitarian,Females,90k-110k,0.051000000000000004,1.698496513532841e-07
Permanent Humanitarian,Females,110k-130k,0.0,0.0
Permanent Humanitarian,Females,130-150k,0.0,0.0
Permanent Humanitarian,Females,>150k,0.0,0.0
Permanent Humanitarian,Males,<10k,410.817,0.0013681789062745513
Permanent Humanitarian,Males,10k-20k,1529.2,0.005092825232342001
Permanent Humanitarian,Males,20k-30k,1363.427,0.004540737266581453
Permanent Humanitarian,Males,30k-50k,427.525,0.0014238229842120154
Permanent Humanitarian,Males,50k-70k,7.6370000000000005,2.543415269382413e-05
Permanent Humanitarian,Males,70k-90k,1.4449999999999998,4.812406788343049e-06
Permanent Humanitarian,Males,90k-110k,0.0,0.0
Permanent Humanitarian,Males,110k-130k,0.0,0.0
Permanent Humanitarian,Males,130-150k,0.0,0.0
Permanent Humanitarian,Males,>150k,0.0,0.0
Permanent Other,Females,<10k,2.129,7.090390347669448e-06
Permanent Other,Females,10k-20k,180.909,0.0006024966779739465
Permanent Other,Females,20k-30k,302.958,0.0010089668759742795
Permanent Other,Females,30k-50k,2525.968,0.00841244674763828
Permanent Other,Females,50k-70k,106.54599999999999,0.00035483923437425505
Permanent Other,Females,70k-90k,12.185,4.058074513215229e-05
Permanent Other,Females,90k-110k,0.871,2.9007656142884404e-06
Permanent Other,Females,110k-130k,0.022,7.326847705435784e-08
Permanent Other,Females,130-150k,0.0,0.0
Permanent Other,Females,>150k,0.0,0.0
Permanent Other,Males,<10k,1.249,4.159651265495135e-06
Permanent Other,Males,10k-20k,35.769,0.0001191245525344239
Permanent Other,Males,20k-30k,216.01,0.0007193965331141744
Permanent Other,Males,30k-50k,1637.801,0.0054545084085501966
Permanent Other,Males,50k-70k,1151.538,0.003835065251373688
Permanent Other,Males,70k-90k,98.462,0.0003279163994420992
