gender,feature,number_of_jobs,median_income,PROPORTION
FEMALES,Households,8138.682000000001,10k-20k,0.39150027815933325
FEMALES,Non-profit institutions serving households,2070.305,20k-30k,0.09958921891464224
MALES,Households,9606.069,10k-20k,0.462086943010889
MALES,Non-profit institutions serving households,962.7860000000001,20k-30k,0.04631351695617446
